@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"rt @infozeus: rt @cfsoto: @ tele13online in #talca stanno saccheggiando case con persone dentro Ho appena parlato con i miei cugini","7","4","2","131","20","1","1"
"A San Pedro de la Paz, le persone sono più tranquille con l&#39;arrivo dell&#39;esercito. la mia famiglia è bie","6","2","0","113","22","0","1"
"rt @ tvn_mauricio: rt @ximenagambra: puerto montt: aiuto è ricevuto a scuola 6 (scuola spagna","5","2","1","94","13","0","1"
"Ambasciata cilena: nessuno dei conti internazionali è stato riconosciuto dal governo cileno. unica croce rossa cilena riconosciuta","5","2","0","131","16","0","1"
"movistar mexico dà tutte le chiamate a #chile che sono necessarie per localizzare i parenti dopo il terremoto solo oggi, domenica 28 febbraio","7","3","1","142","23","1","1"
"@cruzrojainforma in copiapó commune dove ci sono donazioni di sangue. durante questi giorni","4","2","1","92","13","0","1"
"rt @curvaspoliticas #chile i compiti per i coraggiosi: camion 4x4 in curicÓ per aiutare a trasferire le leonesse da iloca ecopolis.di@gmail.com","6","4","1","144","24","1","1"
"@fernandopaulsen @biobio in cerca di rosa baro mendoza a suo figlio e nipote di corone","6","1","0","86","15","0","1"
"@anetteoficial carnalitos l&#39;ambasciata cilena n mex ha aperto il conto 4042482448 n hsbc per sostenere le vittime c ha chiesto qc retwiteen","7","5","0","143","24","0","1"
"@biobiodeportes: manuel silva moraga cerca l&#39;età di 20 anni La città di Talcahuano manca con tutta la sua famiglia 84572407","7","2","0","129","22","0","1"
"rt @chaborrin: come si applica un coprifuoco con il pericolo di un altro terremoto? tutto rinchiuso per aspettare un altro terremoto","4","4","2","132","21","0","1"
"http://www.facebook.com/#!/group.php?gid=10150095451980151&amp;ref=ts ecco le informazioni delle strade via google.","4","0","0","115","18","0","1"
"@itskaritto sorseggia xd molte repliche d: ma in talca c&#39;era un 6.1, o che paura","6","1","1","84","18","0","1"
"qualcuno sa @naibyl è conce!","2","2","1","29","4","0","1"
"per aiutare le vittime del terremoto che ha colpito il nostro paese lo scorso Venerdì 26 http://chileayuda.com/","5","2","1","112","19","0","1"
"nel comune di nancagua (regione vi) non c&#39;è ancora né acqua né lu","4","1","0","72","14","0","1"
"il terremoto del Cile riduce la durata dei giorni in 1,26 microsecondi e sposta l&#39;asse della terra di 8 centimetri","8","3","0","118","23","0","1"
"# 24h militare necessario nel penco urgente @biobio #terremotochile #chile #concepcio","5","2","0","85","10","4","1"
"47 dead #terremotochile la notizia è confermata = (","2","2","0","52","6","1","1"
"rt @kokesaldana: @tvn_monicar bisogno di localizzare angie ponti contreras e famiglia vicino a villa las princesa","7","2","1","113","16","0","1"
"@tvn_pablo sta cercando iris sierra e rene ormeÑo a san pedro de la paz.","2","2","1","73","15","0","1"
"Clinton promette più aiuto per il Cile http://bit.ly/bs81xg","4","1","0","60","11","0","1"
"rt @ tvn_mauricio: qui l&#39;elenco dei supermercati e delle farmacie apre http://bit.ly/cvxiey da valpo a p.montt (grazie a @fcevenindeath)","7","1","1","140","24","0","1"
"rt @cruzrojainforma: i carabineros devono aver usato misure estreme di forza per prevenire il saccheggio. #terremotochile per favore non esporre ...","6","4","1","148","20","1","1"
"L&#39;occhio di @airarazaval con questo: avanza di 6pm il coprifuoco in concezione","4","1","1","82","14","0","1"
"Sono paino con il saccheggio di conce ... caotico e terzo mondo!","3","2","0","64","11","0","1"
"queste repliche stanno causando il crollo di diversi edifici che sono stati lasciati in cattive condizioni dal terremoto principale","5","2","1","131","19","0","1"
"qualcuno ha informazioni sulla città di cauquenes ??????","3","1","1","57","7","0","1"
"Devo sapere della famiglia Godoy Ramirez che era tra il concepimento e il colonnello .. forza per tutti! marcela valdivia","7","3","2","121","19","0","1"
"rt @tvnlab: rt @aradx: rt @myricri: Sto cercando esteban espinoza ansieta è in concezione #terremotochile #fuerzachile #rptw","3","8","2","125","16","3","1"
"rt @ric_higuera: insulza: &quot;l&#39;intervento delle forze armate era necessario, è bene che sia stato fatto&quot;. vivere in cooperativa.","3","5","1","141","21","0","1"
"rt @ cristianvega88: intendente los rios conferma l&#39;inizio della classe minima per 8/03 #terremotochile #valdivia","4","2","2","117","17","2","1"
"rt @copano: urgente: il @ejercito_chile ha twitter e sta monitorando le informazioni sui luoghi abbandonati dove non sono ancora arrivati. rt a to2.","3","6","3","148","23","0","1"
"rt @carlos_baute: xfavor qualcuno d ​​chili q può chiamare questi nrs e notificare x qui come sono: 98708665 alfred","1","6","3","120","19","0","1"
"@psicovivir: è importante che i bambini dormano parlando con loro. deve sentire la sicurezza dei loro cari #terremotochile","3","4","1","123","17","1","1"
"rt @cnn_chile: i vicini del concepimento sono organizzati per prevenire il furto http://url4.eu/1votw","4","2","1","101","16","0","1"
"rt @sowhatz: ho sentito alla radio che l&#39;operatore 188 è gratuito per le chiamate nazionali. #terremotochile","4","2","2","113","17","1","1"
"rt @_mmedina: @carolafuentes rt per favore. Cerco la famiglia salgado mejias della città di talcahuano settore las salinas. a 92156982","4","5","3","135","20","0","1"
"si dice che ci sia una rottura nella farfalla quindi il padre maipu rubato e la peñaflor sarà senza agu","4","4","2","105","21","0","1"
"rt @elisimone: nella lista @ayudachile dei volontari tweeter per contattare i parenti in diversi paesi #sebusca #terremotochile","6","2","0","127","17","2","1"
"nel talcahuano l&#39;esercito sarà incaricato di sorvegliare le strade #terremotochile #chile","4","4","0","94","13","2","1"
"rt @ 6topoder: sì hai una famiglia in Cile attraverso http://evaphone.com/ puoi effettuare 2 chiamate VoIP gratuite in Cile","5","2","1","124","20","0","1"
"@polloenconserva - nel concepimento le brave persone stanno occupando nastri rossi per differenziarsi dai ladri. chiama per fare lo stesso","5","5","1","138","19","0","1"
"@hector_uc So ​​solo che sei più colpito dal centro e dal sud del Cile, ma non so dove sono rimasti quei posti","7","4","1","115","22","0","1"
"rt @eluniversal: i terremoti più devastanti in america latina http://bit.ly/bonish #terremotochile","3","2","1","99","14","1","1"
"gli onemi dicono che ci sono 147 morti nel Cile ...","4","2","1","51","10","0","1"
"rt @leoprieto: la struttura di parcheggio è crollata nel conteggio","4","1","1","67","9","0","1"
"il corpo di @edo_arevalo trovato in llo lleo non corrisponde al figlio edo mitjans del mio amico retweet per favore queste informazioni","8","3","0","135","22","0","1"
"rt @ktakn: la famiglia della carriera di salgado sta bene in talcahuan","5","2","1","70","12","0","1"
"@ivanvalenzuela @copano urgente nella costituzione # è apparso ivan lara di 8 anni che è solo in quella città alla ricerca di parenti in tutto il Cile.","6","4","2","154","24","1","1"
"@loregar: @papelpiz: concep con acqua in più parti e la luce sta già arrivando","4","3","0","80","14","0","1"
"rt @copano: urgente rt a 2: 5.000 volontari sono necessari per concepire gli aiuti. incontrarsi nel centro commerciale el trebol (via @e ...","8","3","2","140","23","0","1"
"@cristian_pg bro conosci gente in bulnes? c&#39;è una famiglia che mi chiedono di individuare: oscar sepulveda-margarita oyarzun ...","5","7","2","133","19","0","1"
"rt @je_nna: le ambasciate cilene ricevono i cileni e contattano i rifugiati direttamente nelle loro case o nei centri di accoglienza #terremotochile","9","4","0","148","22","1","1"
"#rptw Ho bisogno di informazioni su Cristian Muñoz e famiglia di curanilahue.muertos feriti senza h2","7","2","0","101","17","1","1"
"rt @victor__moreira: @copano urgente: dicono in radio biobio che non si fermano per strilli per prendere gente da quando i detenuti sono fuggiti da questo bu ...","6","4","4","161","26","0","1"
"@ivanvalenzuela come aiutare? -http: //ayudarchile.blogspot.com/- si prega di diffondere! compilazione dei mezzi che esistono finora per aiutare","1","7","2","144","19","0","1"
"la rete di strade in concessione funzionava come i ponti: tutto in terra. nuovo governo dovrebbe monitorare la ricostruzione q essere professionale","7","3","1","147","22","0","1"
"#internetnecesario rt @ac_scl il mare è stato raccolto in rapporti algarrobo radio bio bio !! // cautela contro lo tsunami @drpisanty sismologico","5","4","0","146","19","1","1"
"il danno da terremoto potrebbe raggiungere i 30 miliardi di dollari","4","1","0","67","11","0","1"
"da allora ... canali di informazione abbiamo bisogno di informazioni dai comuni dall&#39;altra parte della bio","6","3","0","110","17","0","1"
"rt @ejercito_chile: ricorda che siamo anche in fb con tutte le informazioni necessarie http://is.gd/9y4nv","2","3","1","105","17","0","1"
"rt @ tvn24h: detto: ci sono 3 ostelli in #dichato. Hanno bisogno di coperte e alimenti base. &quot;ci sono 12 carabinerhi deceduti di #dichato","8","7","1","142","24","2","1"
"rt @ el_pais: un forte terremoto di magnitudo 8,8 provoca almeno 64 morti in Cile: un terremoto di 8,8 gradi sulla scala ... http: ...","8","1","1","134","24","0","1"
"@soledadonetto in curico hanno dato l&#39;acqua e questo intoccabile","2","1","0","68","11","0","1"
"rt: @osvaldo_: rt @enanin metro valparaíso sospeso fino al 15 marzo http://goo.gl/lfhr","2","3","1","87","16","0","1"
"rt @cristianarcos: è totalmente confermato che hanno trovato il corpo di Juan Pablo Mitjans. forza i tuoi amici e la tua famiglia.// che peccato !!","7","3","3","148","23","0","1"
"rt @gonolipa: amici si prega di retweet e se è possibile postarlo in gruppi di Facebook http://galeon.com/chancoayuda/index.htm (informac ...","6","3","2","142","22","0","1"
"Le persone si alternano con i vicini per proteggere gli edifici che sono stati intonacati e non entrano per saccheggiarli.","4","4","2","122","20","0","1"
"rt @teleton_chile: gli amici aggiungeranno anche la grande iniziativa di www.chileayuda.com alla nostra prossima pagina e l&#39;hashtag è #chileayuda","5","2","1","150","22","1","1"
"@soledadonettonecesito sapere di Santa Cruz perché sono totalmente isolati e mia madre è già fuori dalla batteria celu.","4","3","0","122","17","0","1"
"in 30 minuti inizia il coprifuoco.","2","1","0","34","6","0","1"
"La fornitura di benzina rt @ tele13online sarebbe assicurata per 2 settimane: http://bit.ly/cngd3v #terremotochile","6","1","1","114","16","1","1"
"rt @fantasmitalatin: @univisioncorp in solidarietà con il popolo del Cile alla ricerca di persone! per favore rt: http://www.tconnections.net/ch ...","9","1","1","149","22","0","1"
"i saccheggiatori dicono che hanno bisogno e rubano il plasma","3","3","1","60","10","0","1"
"Qualcuno di Cabrero che può dirmi come stanno le cose laggiù? Ho parenti là fuori che non riesco a contattare #chile","3","4","2","119","21","1","1"
"@felipeharboe potresti già contattare il papÁ di ivan jara. è in viaggio da Santiago","5","3","0","87","13","0","1"
"rt @ tvn24h: utilità pubblica: il consumo eccessivo di acqua influisce sull&#39;offerta. anche moderato consumo di luce.","6","1","0","121","18","0","1"
"# terremoto nel Cile. sforzi e iniziative nella rete per aiutare: http://wp.me/p3kcv-h8","4","2","0","87","15","1","1"
"nove ospedali nel paese disattivati ​​dal terremoto http://url4.eu/1wshw","3","1","0","76","11","0","1"
"rt @chelo_pi: movistar carica 1.500 pesos per i clienti prepagati nelle aree catastrofiche si prega di diffondere #terremotochile","5","4","3","129","19","1","1"
"rt @mayoquiroga: @reportwiteros è scomparso calciatore della concezione ud michael lepe in caleta tumbe octva regione aiuta ...","6","5","1","128","16","0","1"
"#terremotoenchile edifici bilbao con papaveri con gravi danni","3","1","0","61","8","1","1"
"questa è la pagina in cui cercare le persone che sono in Cile http://www.google.com/intl/es/relief/chileearthquake/","3","3","3","116","20","0","1"
"Nei prossimi minuti un tetto per il Cile riporterà sulla raccolta di cibo.","7","1","0","75","13","0","1"
"@simonrojasdoll nel consiglio di quartiere di Quilpué. selezioniamo i vestiti che arrivano e il cibo. lo gettiamo in scatole e lo lasciamo in cr.","8","4","3","146","24","0","1"
"@buenosdiatodos nicolas mansilla cerca angela mansilla e sergio sandoval qe erano in cobquecura chiamata 067526411. tnian ngocio","5","4","1","128","17","0","1"
"rt @vtvnoticias: bachelet aggiorna il bilancio delle vittime a causa del terremoto: 795 http://bit.ly/ae9sea via @unoticias","6","1","1","123","19","0","1"
"Vedo ancora una colonna di fumo piuttosto nero verso renca e conchali !!! #chile","3","2","0","80","13","1","1"
"rt @ tvn_mauricio: 14:30 insieme ci alziamo: programma speciale TV per canalizzare le loro offerte di aiuto. grazie a tutti","6","2","2","123","20","0","1"
"@polloenconserva Voglio avvertire che paillaco (de los los rios) non ha alcun danno grazie al nostro","3","3","1","100","16","0","1"
"@alejandroaguin ciao ... potresti dirmi com&#39;è la situazione per quei posti? ... Colonnello la città è molto colpita ??","6","3","0","125","16","0","1"
"in adn sono inasprendo come un matto il sindaco di conchali. sta chiedendo un tocco perché tutti dicono che ci sono saccheggi #charla_tecnica","6","4","2","142","23","1","1"
"rt @yomeroquai: fyi il servizio radio nextel sta lavorando per comunicare a chil","4","3","1","80","13","0","1"
"@mxperez cerco notizie di abel velasquez ed edelmira zapata in curanilahue","5","2","0","74","11","0","1"
"rt @leoprieto ricorda: apri il tuo wifi per aiutare i vicini che non hanno internet a casa a comunicare. #terremotochile","5","6","2","120","20","1","1"
"rt: @larepublica_pe: tutte le informazioni raccolte finora sul terremoto in Cile http://bit.ly/bpj7iv #terremotochile","4","2","2","117","16","1","1"
"rafael donoso: ho 4000 litri di latte al giorno a los angeles da regalare ho bisogno di un camion per trasportarlo 02-2173603 @ ejercito_chile","8","4","0","142","24","0","1"
"la concezione è già una città senza legge. il governo deve prendere misure drastiche! il vandalismo è estremo e non si fa nulla! #chile","6","5","2","139","22","1","1"
"@copano la florida tutto bene, tranne pochi blocchi ancora, nessuna energia ...","2","1","1","79","11","0","1"
"rt @sanfeliu: il Twitter ufficiale del telethon è @teleton_chile turn it rt è il canale ufficiale dell&#39;evento venerdì! aggiungilo!","5","5","2","137","19","0","1"
"@muchogustomega in Felicito hai bisogno di informazioni su!: liria agüero agüero ed eduardo sotomayor calixsto .... popolazione santa alicia. oltre 90 anni","7","3","0","157","23","0","1"
"@jose_munozzz io e la mia famiglia per fortuna stiamo bene !!","2","1","1","61","10","0","1"
"rt @diantres: il terremoto nel Cile spostò leggermente l&#39;asse della terra","3","4","1","78","13","0","1"
"@ tele13online studenti usach: incontro si chiama domani alle 11:00 nel patio de los naranjos (feusach) #terremotochile","6","3","1","119","17","1","1"
"il coprifuoco è previsto alle 8:00 pm","3","1","0","38","7","0","1"
"Ho bisogno di informazioni sul percorso stgo-conce @biobiodeportes @gustavohuerta @rodrigosepu #terremotochile #chile #terremotoenchile","6","3","0","135","14","3","1"
"rt @reporteropop: muncipalidad de paine riporta la sua situazione e chiede aiuto a 600 famiglie colpite http://post.ly/qggn","5","4","0","123","20","0","1"
"Nel centro di Stgo ci sono rivolte. Puoi confermare se ci sono saccheggi?","3","3","2","73","13","0","1"
"rt @elespectador: il terremoto in Cile lascia 400 morti","3","1","1","55","9","0","1"
"@saporotti tua sorella sta bene? qui tutto bene. Non so nulla dei capelli dani, dimmi qualcosa.","2","4","3","95","16","0","1"
"consolato di cile in valencia: 0241-8575263 | consolato del Cile en pto ordaz: 0286-9614556 | consolato del Cile in mcbo: 0261-7430460","9","3","0","134","22","0","1"
"elenco diffuso dei sopravvissuti colombiani dopo il terremoto in Cile http://todanoticia.com/7366/","5","1","0","98","14","0","1"
"@ tvn24h per favore i giornalisti che sono in procinto di provare a sorvolare il Golfo di Arauc","6","3","1","95","17","0","1"
"xfavor qualcuno d ​​chili q può chiamare questi nrs e notificare x qui come sono: 98708665 alfred","1","5","2","102","17","0","1"
"@ tvn24hfavor informazioni su penco sono in bahia e non ci sono informazioni","4","3","1","76","12","0","1"
"@ srmolina2010 L&#39;ho appena vista. Ieri ho visto che hanno iniziato a dire &quot;mettere l&#39;acqua insieme&quot; nessuno era vero. quello è essere persone cattive e seminare il panico.","4","10","3","190","32","0","1"
"rt @ tuitertonchile: ricorda i conti ufficiali @gobiernodechil","2","1","0","62","7","0","1"
"#terremotochile domani alla scuola minore del seminario pontificio nel padre errazuriz 700","4","2","0","90","12","1","1"
"rt @ el_universal_mx: terremoto in #chile raggiunge 214 i morti http://bit.ly/dafbjs","5","1","0","84","13","1","1"
"@ tvn_mauricio in cui pagina posso vedere i luoghi più colpiti dal sisma","4","2","1","73","12","0","1"
"@biobiodeportes Sto localizzando fiori mendez pinto trovati nel concepimento o talcahuano paulina azocar il busc","6","4","0","112","15","0","1"
"rt @alegunsche: come e dove aiutare (pubblicazione con tutte le informazioni aggiornate) @tvn_mauricio #terremotochile # 24h #rptw http://bit.ly/d7jyc7","4","2","1","151","20","3","1"
"rt @rnbicentenario: #chileayudachile abbiamo bisogno di cibo + abbigliamento + volontari maggiori informazioni su: http://tinyurl.com/chileayudachile #terremot ...","6","2","2","163","17","2","1"
"rt @paz_pena: centro temuco dopo il terremoto http://www.facebook.com/album.php?aid=56074&amp;id=1151630295&amp;ref=nf","3","2","1","118","21","0","1"
"rt @huichalaf: conferma l&#39;arresto di una persona che ha fatto una chiamata di tsunami a viña / valpo #terremotochile","6","4","2","121","21","1","1"
"@indifference @cnagency: copertura dal vivo del terremoto del Cile da ustream: http://bit.ly/bnjhzj // Lo sto vedendo ora.","3","3","1","122","19","0","1"
"rt @edalgomezn rt @jumastorga: I funerali massicci per le vittime della regione di Maule si terranno dalle 5 del pomeriggio","7","2","3","123","20","0","1"
"rt @carolinamillan: come si coprifuoco le persone rimaste senza casa? // gli ostelli o qualcosa del genere?","5","2","3","107","16","0","1"
"Raccomando una lettura a questa pagina: /www.rescate.com. cosa fare","4","2","0","67","11","0","1"
"Ho bisogno di notizie su Antonio Gonzalez (toño","4","2","0","48","9","0","1"
"@ concezione di scisterna sotto controllo http://bit.ly/c10lj5 (via @adnradio) / auspicabilmente ciert","5","0","0","102","13","0","1"
"rt @ tvn_mauricio: &quot;ci sarà bisogno di severità (..) tutto il rigore della legge&quot; per le persone legate ad assalti e / o saccheggi","8","3","1","142","23","0","1"
"rt @chinistico: il talca hosp è una bugia. né che i pazienti si prendessero cura di se stessi. smettila di inventare cose stupide. #terremotochile","6","4","3","148","23","1","1"
"qui http://tinyurl.com/yjzoy68 diversi portali dove hanno bisogno di aiuto e cercano volontari (via @ educacion2020)","5","2","0","116","17","0","1"
"www.reportwitteros.cl #rptw Sto cercando valentina valedobenito di 8 anni. #penco. i genitori sono disperati !!!!","6","5","0","113","16","2","1"
"in cinque repliche di mendoza ... cazzo voglio sapere come sta il mio amico: |","3","2","0","78","13","0","1"
"rt @cruzrojainforma: chiariamo: la Croce Rossa non richiede ai volontari di lavorare in questa emergenza.","4","3","1","105","15","0","1"
"rt @cruzrojainforma: raccogliere l&#39;acqua in tini e altri contenitori","3","2","1","72","11","0","1"
"rt @potq: rt: @mpaau ong asosida riceve fusti di acqua e cibo non deperibile fino alle 10 di sera a bilbao 735 #temuco @nadaseralomism ...","8","1","2","138","24","1","1"
"rt @giordanoluna: essere attenti alle informazioni e quindi evitare le voci sintonizzare cooperativa (93.3 fm) o radio bío bío","5","3","1","128","22","0","1"
"@tvn_mauricio dà notizie di colonnello e come aiutare volontariamente ho bisogno di trovare mia sorella Maria de los Angeles soza gonzalez","9","5","0","139","21","0","1"
"@ tvn24h sono arrivate informazioni via facebook che sono necessarie donazioni di sangue negli ospedali","6","3","1","103","14","0","1"
"rt @littlefru: in chovellen solo la casa di mr. Olga e non ci sono morti! puoi stare tranquillo # peuño #curanipe","2","6","4","114","21","2","1"
"Ho bisogno di informazioni sulla nascita e rengo","3","3","0","48","8","0","1"
"@reportwiteros in cerca di manuel alejandro padilla gonzales in colonnello #rptw","4","3","0","80","11","1","1"
"minsal pubblica la terza relazione sulla situazione della rete sanitaria nel paese: http: //url4.eu/1wyla #chile #terremotochile","6","3","0","128","18","2","1"
"@aletastets hey puoi comunicare con qualcuno in Cile è un numero di cellulare?","3","3","1","79","12","0","1"
"per favore diffondi: apri jumbos a santiago #terremotochile http://twitpic.com/15uqcn","4","2","0","85","12","1","1"
"@cnnchile per favore: notizie da Los Angeles! non c&#39;è comunicazione dal terremoto","6","0","0","86","13","0","1"
"#talcahuano #talcahuano #buscapersonas cerchiamo urgentemente cristopher pastén núñez in talcahuano. chiama iquique allo 057 427902","3","9","0","134","17","3","1"
"fonti sul terremoto in Cile http://bit.ly/auedsj","4","0","0","48","9","0","1"
"svegliarsi e vedere il Cile negli argomenti più chiacchierati = s .... prima haiti poi cile. 78 morti finora","5","2","0","109","17","0","1"
"(#chile - cile) replica forte in questo momento a Santiago !!!!!","3","0","0","64","9","0","1"
"dal vivo: il ministro dell&#39;Interno raccomanda di rimanere nelle loro case: numerosi tagli stradali","4","2","0","102","16","0","1"
"Se qualcuno ha informazioni chiguayante per favore","2","1","1","50","7","0","1"
"rt @chubaskin: rt @ katisbanned: carica il movistar $ 1.500 per i clienti prepagati in aree catastrofiche per favore diffondili via @snscafe","8","2","1","140","21","0","1"
"rt @roycampos: rt @diegovivas: usa l&#39;hashtag #terremotochile per raccogliere tutte le informazioni che hanno. Per favore.","4","5","3","125","18","1","1"
"@simonhodges #terremotochile era 8,8 nell&#39;epicentro","1","3","0","55","8","1","1"
"rt @mendezpaul: rt @ eluniversal: gli Stati Uniti sono pronti ad aiutare il Cile dopo il terremoto - http://bit.ly/agp06o #terremotochile","4","4","2","137","21","1","1"
"# e10 com Posso caricare immagini del temuco regionale .. a proposito, gran parte della sua struttura dovrebbe essere demolita","6","5","0","126","18","1","1"
"@copano è alla ricerca di maria escobar sanhueza e daniel escobar sanhueza in concepcio","5","2","0","88","13","0","1"
"rt @ tele13online: conferma terremoti in giappone e filippine di grado 5.2 sulla scala Richter.","8","1","1","95","15","0","1"
"oggi di mattina abbiamo avuto notizie di san fabian; non c&#39;è energia elettrica","6","1","0","83","14","0","1"
"rt @ tvn24h: il contatto dal onemi: dead after terquake sarebbe circa 300.","5","2","1","74","12","0","1"
"@humonegro leader della catena montuosa tb riceve donazioni con volontari dalla casa di Cristo","6","2","0","94","14","0","1"
"Informazioni su Lota per favore qualcuno che dica come è la città e la sua gente #fuerzachile #terremotochile #terremotoconcepcion # 24h","6","6","2","138","19","4","1"
"rt @ tvn24h: curanipe: nella chiesa ci sono i corpi delle vittime fatali #curanipe","4","4","1","82","13","1","1"
"Sto cercando i fiori di famiglia sepulveda de chiguayante per favore se qualcuno sa per favore contattami","7","3","1","105","17","0","1"
"7:01 pm aeroporto lancia il piano di emergenza dopo il terremoto","5","1","0","64","12","0","1"
"#terremotochile per donare sangue nella regione metropolitana","2","2","0","61","7","1","1"
"@matiasdelrio abbiamo bisogno di informazioni su christer wiberg (svedese) e carolina gacitua (cileno) campeggio nel settore della curanipe","8","4","0","139","18","0","1"
"rt @fernandopaulsen: camion mercurio spedito quotidianamente a conce: chiedono che dimentichino i giornali e mandano agu","3","4","1","120","16","0","1"
"@fabriziocopano Ho bisogno di trovare persone in #cauquenes iris diaz e leonel villegas favore rt","5","5","1","97","15","1","1"
"rt @ tele13online: http://twitpic.com/164syp - la famiglia sta cercando peralta oxa. Chiediamo a chi ha o sa qualcosa di loro, per favore, comunica ...","5","5","4","151","24","0","1"
"buongiorno riposizionamenti di chilectra 89% del rifornimento di energia in rm http://tinyurl.com/yaspozj","7","0","0","105","15","0","1"
"@ cnn_chile abbiamo bisogno di conoscere magali quiroga e danilo ortiz che erano in cauquenes o pelluhue. grazie","7","3","1","112","17","0","1"
"rt @ tvn24h: gli Stati Uniti assicurano che #terremotochile abbia generato tsunami nel Pacifico. Sarebbe arrivato alle Hawaii alle 17:00 del Cile. # 24h","9","6","0","152","23","2","1"
"rancagua con distruzione nei suoi vecchi edifici nel centro (#moteconhuesillo live at http://ustre.am/cug7)","6","2","0","107","16","0","1"
"puerto monttinos! Domani organizzi aiuto su http://www.elrepuertero.cl/admin/render/noticia/21209","3","0","0","97","14","0","1"
"rt @vlanoticia ora le vittime di #curico scendono in strada e accendono falò per rompere l&#39;oscurità e il silenzio #terremotochile","5","6","1","135","22","2","1"
"@biobio por fa diffunda: i volontari di conceco arauco sono obbligati ad andare a caleta tubul. cpulgart@gmail.com possibile solo p land. rt","4","6","1","140","24","0","1"
"il presidente conferma 708 deceduti #terremotochile # 24h","3","1","0","57","7","2","1"
"rt @fggutierrez: rt @tentandote: retweet per favore i telefoni di emergenza nel Cile 568 1290/568 1295 - argentina - @ rocsidiaz","7","2","2","128","19","0","1"
"è necessario localizzare sandra pino maldonado ... nessun contatto telefonico con le vacanze a pochi metri dalla spiaggia per favore aiutatemi","7","3","0","143","19","0","1"
"Il ministro dell&#39;Interno conferma 214 morti. &quot;E &#39;stato un cataclisma","4","1","0","81","14","0","1"
"@pekeniobombon hawaii ha un allarme tsunami per le 11:00 (ora locale)","2","3","0","69","12","0","1"
"rt @mlorca: http://twitpic.com/163360 - #rptw Ragazzo di 7 anni scomparso in pelluhue. il suo nome è salvador alonso acuña barra rut: ...","5","4","1","139","23","1","1"
"@babyrodriguez ti ricordi di nico? È a sud della città dove il più grande terremoto è stato e non riesce a trovarli .. Sono triste","5","5","1","134","22","0","1"
"@ayudachile sta cercando manuel jesus inostroza contreras e i suoi figli matias alexis e maria belen inostroza acevedo","5","3","0","118","18","0","1"
"rt @copano: che dire di chv e del supermercato è davvero impressionante. stronzi che rubano tutto tranne il cibo. la vergogna dovrebbe dar loro","3","6","3","144","23","0","1"
"@tvn_monicar la scorsa notte comune di cerrillos una folla di lumpen furiosi che gli animali selvatici affrontati con proiettili con i carabineros","6","2","1","146","22","0","1"
"rt @adnradio: abbiamo abilitato il telefono (2) 7262208 per registrare il tuo messaggio: se hai bisogno di localizzare qualcuno o di avere informazioni ... htt ...","4","7","2","163","24","0","1"
"Informazioni su tre minuti fa http://bit.ly/bqtfu0","3","0","0","50","9","0","1"
"lo stadio nelson oyarzun costruito per il fenemino globale ha subito gravi danni","3","1","0","80","13","0","1"
