@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"en la comuna de nancagua (vi región) aún no hay ni agua ni lu","4","1","0","63","16","0","1"
"el terremoto de chile reduce la duracion de los dias en 1.26 microsegundos y movio el eje de la tierra 8 centimetros","9","1","0","116","23","0","1"
"#24h se necesitan militares en penco urgente @biobio #terremotochile #chile #concepcio","7","1","1","86","11","4","1"
"rt @marcelopradosz: @rodrigosepu: en cabrero la situación es tranquila y sólo hay temor por los reos sueltos. por favor rt para tranquilizar","7","2","0","142","24","0","1"
"@reportwiteros busco de urgencia a la familia garay rivas que se encuentra en la localidad de santa juana concepcion porfavor avisar","8","2","2","132","21","0","1"
"47 muertos #terremotochile la noticia es confirmada =(","3","1","0","54","7","1","1"
"@reportwiteros google habilita pagina para donaciones desde el extranjero http://www.google.com/relief/chileearthquake/ #rptw","6","0","0","125","16","1","1"
"rt @kokesaldana: @tvn_monicar necesito ubicar a angie puentes contreras y familia cerca de villa las princesa","6","3","0","109","16","0","1"
"rt @earcos: piden a @movistarchile que libere los wi-fi comerciales para poder mejorar comunicaciones /via @micronauta (rt porfa)","5","4","1","129","19","0","1"
"@tvn_pablo busca a iris sierra y rene ormeÑo en san pedro de la paz.","5","3","0","69","15","0","1"
"rt @muchachurris es cierto esto? guendelman junten agua. corte general en santiago a las 16.00! / yo tb quiero saber!","6","4","2","117","20","0","1"
"clinton promete más ayuda para chile http://bit.ly/bs81xg","3","2","0","58","11","0","1"
"rt @tvn_mauricio: aquí la lista de supermercados y farmacias abiertos http://bit.ly/cvxiey desde valpo a p.montt (gracias a @fcevenindeath)","9","0","0","140","22","0","1"
"lean un poco de esto y ya luego me platican. http://bit.ly/wshnh http://bit.ly/cjwxck relacionado con el terremoto de chile de 8.3º","4","2","3","132","27","0","1"
"#terremotochile para poder comunicarnos con constitucion porfavor dar un numero netel o llamar a  56*129*578 para contacto.","5","3","0","123","19","1","1"
"rt @cruzrojainforma: carabineros ha debido emplear medidas extremas de fuerza para evitar saqueos. #terremotochile por favor no se expon ...","7","3","2","140","19","1","1"
"@airarrazaval ojo con esto: se adelanta para las 18hs el toque de queda en concepción","5","1","2","86","16","0","1"
"estoy pa´ dentro con los saqueos de conce... caótico y tercermundista!!","2","0","0","73","12","0","1"
"rt @copano: desde las 20 horas hasta mediodia de mañana adelantan toque de queda.","5","1","0","82","15","0","1"
"estas réplicas están causando el colapso de diversos edificios que quedaron en malas condiciones por el terremoto principa","5","3","1","124","20","0","1"
"alguien tiene información de la ciudad de cauquenes??????","3","1","1","58","9","0","1"
"nesecito saber de la familia godoy ramirez que se encontraban entre concepcion y coronel ..fuerza a todos !!!  marcela valdivia","6","3","3","127","19","0","1"
"rt @tvnlab: rt @aradx: rt @myricri: estoy en busca de esteban espinoza ansieta esta en concepcion  #terremotochile #fuerzachile #rptw","14","2","0","133","19","3","1"
"#nota @anahi hará tres conciertos por chile http://bit.ly/an7mxv","4","2","0","65","11","1","1"
"rt @alvaro_caceres: todo el pueblo de juan fernandez desapareció. todo. mi hermano se salvó de milagr","5","2","3","103","16","0","1"
"rt @carolinamillan: ricardo arjona ha manifestado interés por colaborar con #chile para la #teleton se verá si es ... http://bit.ly/96j8np","8","5","1","140","23","2","1"
"rt @ric_higuera: insulza: 'la intervención de las fuerzas armadas era necesaria. está bien que se hiciera'. en vivo por cooperativa.","7","1","1","134","21","0","1"
"rt @cristianvega88: intendente los rios confirma inicio de clases mínimo para el 8/03 #terremotochile #valdivia","6","1","0","112","17","2","1"
"rt @copano: urgente: el @ejercito_chile tiene twitter y esta monitoreando info acerca d lugares abandonados donde aún no llegan. rt a to2.","5","4","2","139","23","0","1"
"rt @carlos_baute: xfavor alguien d chile q pueda llamar a estos nrs y avisar x aquí como estan: 98708665 alfred","7","3","3","112","20","0","1"
"@movistarchile  grande movistaar!!  fue lo uniko que sevia durante horas! y yo tengo entel .. y no funcionaba","3","3","1","109","17","0","1"
"rt @grmadryn rt @paniko: mapa colaborativo con todo el comercio abierto en ciudades chilenas. rt porfa http://tinyurl.com/yfplktu","7","0","0","129","20","0","1"
"rt @unavezalasemana: durante de la tarde-noche el municipio de concepción hará distribución de alimentos de primera necesidad #terremoto ...","10","1","0","143","21","1","1"
"rt @alejandrosanz: urgente chile: porfavor mandar comida a los chilenos mas afectados. http://bit.ly/dzsrzr","5","1","0","107","16","0","1"
"rt @psicovivir: es importante que a los niño se les duerma hablandoles. deben sentir la seguridad de sus seres queridos #terremotochile","4","2","2","136","22","1","1"
"rt @cnn_chile: vecinos de concepción se organizan para evitar robos http://url4.eu/1votw","5","3","1","89","15","0","1"
"rt @sowhatz: escuché en la radio que carrier 188 es gratuito para llamadas nacionales. #terremotochile","5","2","1","103","15","1","1"
"rt @los_bunkers: aún buscamos a gregorio madinagoitia y flia. profesor de música. lota","7","2","0","88","15","0","1"
"rt @_mmedina: @carolafuentes rt por favor. busco a la familia salgado mejÍas de la ciudad de talcahuano sector las salinas. al 92156982","11","1","0","136","23","0","1"
"se dice que hay una ruptura en la farfana por ende maipu padre hurtado y peñaflor estara sin agu","6","2","1","97","20","0","1"
"rt @elisimone: en @ayudachile listado de tuiteros voluntarios para contactar familiares en distintos países #sebusca #terremotochile","8","1","0","133","17","2","1"
"en talcahuano la armada se encargará de custodiar las calles #terremotochile #chile","5","2","1","84","12","2","1"
"rt @6topoder: sí tienes familia en chile a través de http://evaphone.com/ pueden realizar 2 llamadas voip gratis a chile","7","3","0","122","22","0","1"
"@polloenconserva - en concepcion la gente de bien esta ocupando cintas rojas para diferenciarse de los ladrones. llamen a hacer lo mismo","5","3","2","136","21","0","1"
"@tele13online para ayudar a los 40 hogares de ancianos de la fundación las rosas http://www.muevetechile.org  #terremotochile","6","1","1","126","20","1","1"
"@hector_uc yo solo se que os mas afectados son del centro y sur de chile pero pues no se en que zona queden esos lugares","5","1","5","120","25","0","1"
"por si tienen un conocido en chile y buscan información o si quieren donar a unicef o direct relief...y si no es... http://bit.ly/9ptnhv","5","4","0","137","28","0","1"
"rt @eluniversal: los terremotos más devastadores en américa latina http://bit.ly/bonish #terremotochile","5","0","0","105","16","1","1"
"lo del aeropuerto de scl es un epic fail. transitando tanta gente la estructura no puede colapsar de esa menera.","6","2","0","112","20","0","1"
"rt @carolafuentes: se cae el sistema interconectado central no hay luz de temuco a chilo","5","1","2","88","15","0","1"
"4500 efectivos mas para conce ....lo dijo vidal..ojo no es sólo conce el problema son muchos lugares mas","4","3","1","105","20","0","1"
"la onemi dice que hay 147 muertos en chile...","3","1","0","45","9","0","1"
"@biobio dicen k van a coratar el agua en puente alto ? en el paradero 27 de av ?","6","2","0","80","17","0","1"
"rt @leoprieto: estructura de estacionamiento se derrumbó en las conde","4","2","1","70","10","0","1"
"@edo_arevalo cuerpo encontrado en llo lleo no corresponde a hijo de mi amigo edo mitjans favor retuitea esta info","8","2","0","113","19","0","1"
"@teletrece porfavor ayuda los vecinos en quilicura no dan mas... ayudenlos!","4","1","0","75","11","0","1"
"rt @ktakn: familia carrera salgado se encuentra bien en talcahuan","4","1","1","65","10","0","1"
"rt @biobio: chiguayante: vecinos organizados y más tranquilos por presencia policia","5","0","0","84","12","0","1"
"@ivanvalenzuela @copano urgente en constitución #apareció ivan lara de 8 aÑos que estÁ solo en esa ciudad busca parientes en todo chile.","5","5","1","140","24","1","1"
"@matiasrivade los 350 de constitución!","1","1","0","39","6","0","1"
"rt @eluniversal: el terremoto de chile fue '50 veces más intenso que el de haití' http://bit.ly/akm0ds","6","0","1","104","20","0","1"
"@loregar: @papelpiz: conce con agua en varias partes y la luz ya está llegand","5","1","0","78","14","0","1"
"rt @copano: urgente rt a to2: se necesitan 5000 voluntarios en conce para repartición de ayuda. reunirse en mall plaza el trebol (vía @e ...","10","3","1","142","26","0","1"
"@eluniversal - víctimas en chile suman 711 mientras continúan fuertes réplicas  http://tinyurl.com/ybxahoe","3","3","0","109","17","0","1"
"@cristian_pg bro conoces gente en bulnes? hay una familia q me piden ubicar: oscar sepulveda-margarita oyarzun...","5","6","2","113","17","0","1"
"rt @je_nna: embajadas chilenas están recibiendo chilenos y contactan fliares directamente a sus hogares o centros de refugio #terremotochile","9","2","0","141","20","1","1"
"#rptw necesito información de cristian muñoz y familia de curanilahue.muertos heridos sin h2","6","3","0","94","16","1","1"
"chilenos se vuelcan a supermercados y estaciones de servicio tras terremoto http://myloc.me/4giya","5","1","1","97","15","0","1"
"rt @sophiabliu: #chile utilizar un hashtag principal por tweet: #estoybien #estasbien #necesita #ofrece ú #tiene #abierto (cont) http:// ...","12","4","0","141","17","7","1"
"hola somos de iquique necesitamos saber de la ciudad de cauquenes no muestran nada en las noticias.... porfa","4","4","1","108","18","0","1"
"rt @victor__moreira: @copano urgente: dicen en radio biobio que no paren por chillan a llevar gente ya q los reos q se escaparon esta bu ...","7","4","3","140","25","0","1"
"@ivanvalenzuela ¿como ayudar?-http://ayudarchile.blogspot.com/- favor difundir! compilacion d los medios que existen hasta ahora para ayudar","3","5","2","141","19","0","1"
"red d carreteras concesionadas funcionó como los puentes: toda en el suelo.nuevo gobierno deberá supervisar q reconstrucción sea profesional","5","2","1","143","21","0","1"
"rt @leoprieto: desde anoche a las 3 am ya está arriba la versión más completa de #chileayuda. el equipo no para! - http://chileayuda.com","7","0","0","139","26","1","1"
"#internetnecesario rt @ac_scl se recogió el mar en algarrobo informa radio bio bio!! // precaucion ante tsunami @drpisanty sismologicos wrld","9","3","2","141","19","1","1"
"terremoto en chile modificó el eje de la tierra http://bit.ly/bwz6ww t________t","6","1","0","80","14","0","1"
"@copano la iglesia sólo recolectará fideo","2","1","0","43","7","0","1"
"daños por sismo podrían alcanzar los 30 mil millones de dólares","4","1","0","66","14","0","1"
"ya puesss.....canales de informacion necesitamos informacion de las comunas al otro lado del biobio","6","1","0","99","15","0","1"
"rt @ejercito_chile: recuerden que también estamos en fb con toda la información necesaria http://is.gd/9y4nv","4","3","0","110","19","0","1"
"rt @tvn24h: dichato: hay 3 albergues en #dichato. necesitan frazadas y alimentos básicos. 'hay 12 fallecidos' carabineros de #dichato","9","1","0","134","20","2","1"
"rt @el_pais: un fuerte terremoto de 8.8 de magnitud causa al menos 64 muertos en chile: un terremoto de 8.8 grados en la escala... http: ...","10","0","0","140","27","0","1"
"@soledadonetto en curico dieron el agua y esta intomabl","2","2","0","55","9","0","1"
"rt @radutzan: rt @stark: #terremotochile: oficial: todos los telÉfonos pÚblicos @movistarchil","6","1","0","95","13","1","1"
"rt: @osvaldo_: rt @enanin metro valparaíso suspendido hasta el dìa 15 de marzo http://goo.gl/lfhr","8","1","0","99","19","0","1"
"rt @cristianarcos: se confirma totalmente que encontraron el cadaver de juan pablo mitjans. fuerza a sus amigos y familia.// que pena!!","6","2","1","135","21","0","1"
"rt @pajarilio: @tele13online urgente en constitucion apareció cristian beas lopez de 16 aÑos. es discapacitado y esta solo en esa ciudad ...","7","4","0","142","22","0","1"
"acabo de  hablar telefónicamente con cristobal jeldez #encontrada #terremotochile está en puerto saavedra en albergue ayuda para esa zona rt","9","2","0","142","21","2","1"
"@buenosdiatodos  necesitamos saber de diego muñoz fredes o graciela fredes de chiguayante porfa no se sabe nada de ellos","4","4","3","121","20","0","1"
"rt @gonolipa: amigos favor retwittear y si pueden publicarla en los grupos de facebook http://galeon.com/chancoayuda/index.htm (informac ...","7","2","0","140","21","0","1"
"la gente hace turnos con vecinos para proteger edificios colpasados y que no entren a saquearlos.","5","2","0","97","16","0","1"
"en gdl noticias están hablando del terremoto en chile :x","4","1","0","57","11","0","1"
"@tvn_mauricio ¿ no será bueno que las fuerzas armadas ayuden a mantener el orden y evitar los saqueos ?","4","3","0","105","17","0","1"
"rt @teleton_chile: amig@s también sumaremos la gran iniciativa de www.chileayuda.com a nuestra próxima página y el hashtag es #chileayuda","7","2","0","140","25","1","1"
"rt @chuqui: me informan que en isla mocha tienen serios problema","3","4","1","64","11","0","1"
"@soledadonettonecesito saber acerca de santa cruz  por que estan totalmente aislados y a mi mama ya se le acabo la bateria del celu.","4","3","2","132","23","0","1"
"en 30 min mas empieza el toque de queda.","3","1","0","40","9","0","1"
"rt @tele13online abastecimiento de gasolina estaría asegurado por 2 semanas: http://bit.ly/cngd3v #terremotochile","6","0","0","114","16","1","1"
"@tvn_mauricio  necesitamos saber de tome  porque solo dan noticias de dichato y estamos muy preocupados","4","3","0","103","15","0","1"
"rt @fantasmitalatin: @univisioncorp en solidaridad con el pueblo chileno buscador de personas! please rt: http://www.tconnections.net/ch ...","8","2","0","140","19","0","1"
"rt @a_parraguez: en pichilemu: la ciudad se encuentra sin electricidad y sin comunicacion. la conectividad vial se regularizó. se ruega  ...","7","3","3","141","20","0","1"
"@tvn_mauricio @tvn24h nueva replica del terremoto en temuco... gracias a dios fue despacio","6","1","0","90","13","0","1"
"saqueadores dicen q es necesidad y se roban plasma","2","2","1","50","9","0","1"
"alguien de cabrero que me pueda decir como está la cosa por allá? tengo parientes por ahí que no puedo contactar #chile","4","3","3","122","22","1","1"
"rt @adnradio: adn hoy transmite en conjunto para todo el país a través de todas las emisoras de iberoamericana radio chile: fm... http:/ ...","8","1","0","142","25","0","1"
"@felipeharboe ya se pudo contactar al papÁ de ivan jara. va viajando desde santiago","2","3","1","84","14","0","1"
"rt @tvn24h: utilidad pÚblica: sobreconsumo de agua afecta suministro. moderar consumo de luz también.","8","2","0","103","16","0","1"
"#terremoto en chile. esfuerzos e iniciativas en la red para ayudar.: http://wp.me/p3kcv-h8","5","2","0","90","16","1","1"
"rt @uchile: consejo universitario fijó inicio de clases para el 15 de marzo http://www.uchile.cl/uchile.portal?_nfpb=true&_pagelabel=not ...","6","1","0","141","23","0","1"
"rt @cooperativa: conozca las medidas que debe tomar tras el terremoto http://bit.ly/ah6x5j #terremotochile","4","2","1","106","16","1","1"
"nueve hospitales del país inutilizados por terremoto http://url4.eu/1wshw","3","0","0","74","12","0","1"
"@biobiodeportes @biobio @cnnchile  en ciudad de los valles falta electricidad y agu","3","2","0","83","12","0","1"
"rt @chelo_pi: movistar cargo 1.500 pesos a los clientes prepagos en las zonas de catástrofe favor difundir #terremotochile","7","2","0","123","20","1","1"
"rt @mayoquiroga: @reportwiteros desaparecido jugador de futbol de la u d concepcion michael lepe en caleta tumbe octva region ayudaaa  r ...","7","1","0","140","21","0","1"
"@mxperez te ruego informacion de curanipe!.... hay cuerpos flotando en el mar.... tngo familia y amigos alla... porfavor manden a alguien","6","4","2","137","21","0","1"
"rt @albertoravell: la mansion que tiene viejito perverso en santiago no sufrio daño alguno en el terremoto.","7","1","1","108","18","0","1"
"rt @fabriziocopano: urgente en constitucion apareció cristian beas lopez de 16 aÑos. es discapacitado y esta solo en esa ciudad...busca  ...","5","5","0","142","22","0","1"
"rt @ayudachile: @juanes @shakira @ricky_martin ayúdennos a difundir esta cuenta para encontrar a familiares","6","3","0","108","15","0","1"
"#terremotoenchile edificios de bilbao con amapolas con serios daño","6","0","0","67","10","1","1"
"rt @globovision: el aeropuerto internacional de santiago fue cerrado por algunos daños en sus instalaciones y se ha informado de varios  ...","6","2","2","141","22","0","1"
"chilectra informa que hay más de 1 millón de personas sin electricidad. dos tercios de santiago sin luz","7","1","0","105","20","0","1"
"esta es la pag para buscar a las personas que estan en chile http://www.google.com/intl/es/relief/chileearthquake/","3","2","2","114","21","0","1"
"rt @tvn24h: 5 muertos y 11 desaparecidos en juan fernández por ola gigante. archipiélago tiene poco más de 500 habitantes. #terremotochi ...","8","1","0","143","24","1","1"
"en los próximos minutos un techo para chile informará sobre recolección de alimentos.","5","1","0","88","15","0","1"
"@simonrojasdoll en la junta de vecinos de quilpué. seleccionamos la ropa que nos llega y la comida. la echamos en cajas y las dejamos en cr.","7","4","5","141","26","0","1"
"rt @carolinamillan: llamado a no recorrer las calles en automóvil - escuchando a @tvn_monicar entrevistar al subsecretario #terremotochile","5","4","0","139","18","1","1"
"@celestejaviera si.. solo se que se puede llegar a stgo en avio","2","2","2","63","12","0","1"
"rt @carlosestrada: durante el terremoto se fugaron 269 presos en chile... http://bit.ly/bogc1k &lt;&lt;-- (vía @codigonoticias)","6","2","1","128","20","0","1"
"@sebastianpinera:aun no llega ninguna ayuda del gobierno a constitució","3","2","0","71","10","0","1"
"@buenosdiatodos nicolas mansilla busca a angela mansilla y sergio sandoval qe estaban en cobquecura llamar al 067526411. tnian ngocio","6","4","0","133","19","0","1"
"rt @vtvnoticias: bachelet actualiza cifra de muertos por sismo: 795 http://bit.ly/ae9sea vía @unoticias","6","0","0","104","17","0","1"
"@ayudachile busco a fernanda donoso fredes. esta en los angeles. qe se contacte con estrella gonzalez. es mi amiga y no se de ella!","4","2","5","131","24","0","1"
"rt @hayquestarloco: un amigo de facebook publicó que la llamó una tal paula hernandez desde talcahuano y su número de celular es 83548460.","8","3","1","141","24","0","1"
"rt @americaeconomia: terremoto chile: mapas útiles en chile. ayuda. http://bit.ly/acfxep. comercio: http://bit.ly/bvua0o. carreteras.... ...","10","0","0","141","19","0","1"
"rt @epiccolorado: para reportar una necesidad tweet en formato: #chile #necesita [lista de necesidades] #sitio [localidad] #número [núme ...","13","4","0","142","20","4","1"
"aun veo una columna de humo bastante negro hacia renca y conchali !!! #chile","3","2","0","76","13","1","1"
"rt @rafaeldonoso: tengo 4000 lt diarios de leche en l. angeles para regalar. solo necesito camión apto pa transportarla. #terremotochile","8","4","0","137","21","1","1"
"rt @tvn_mauricio: 14:30 juntos nos levantamos: programa especial de tvn para canalizar sus ofertas de ayuda. gracias a todos.","7","2","3","125","20","0","1"
"@polloenconserva  quiero avisar que paillaco(r. de los rios) esta sin ningun daÑo gracias a nuestro dio","4","3","0","104","18","0","1"
"@alejandroaguin hola ... podrias decirme como esta la situacion por esos lugares???... coronel la ciudad esta muy afectada??","5","1","0","124","17","0","1"
"en adn están apretando como loco al alcalde de conchali. está pidiendo toque porque todos dicen que hay saqueos  #charla_tecnica","7","3","1","130","21","1","1"
"rt @yomeroquai: fyi el servicio de radio d nextel está funcionando para comunicarse a chil","7","2","0","91","15","0","1"
"@mxperez busco noticias de abel velasquez y edelmira zapata en curanilahue","4","2","0","74","11","0","1"
"hay un camion sin id en 4to centenario con bilbao recolectando ayud","3","1","0","67","12","0","1"
"rt @leoprieto recuerden: abran su wifi para ayudar a los vecinos que no tengan internet en su casa a comunicarse. #terremotochile","9","4","1","129","21","1","1"
"rt: @larepublica_pe: toda la información recabada hasta el momento sobre el sismo en chile http://bit.ly/bpj7iv #terremotochile","8","1","0","128","20","1","1"
"rafael donoso: tengo 4000 lt diarios de leche en los angeles para regalar necesito camión apto para transportarla 02-2173603 @ejercito_chile","7","4","1","141","22","0","1"
"rt @xcaamilaa: @mileycyruschile necesito saber de una persona llamada genésis belen ciudad aguirre que estaba en concepcion cualquier co ...","6","4","0","141","20","0","1"
"rt @tvn24h: ingreso a clases 8 de marzo: rige desde las regiones de valparaíso hasta la araucanía incluyendo la región metropolitana #te ...","9","2","1","143","25","1","1"
"concepcion ya es una ciudad sin ley. el gobierno debe tomar medidas drasticas! el vandalismo es extremo y no se esta haciendo nada!! #chile","6","2","2","139","24","1","1"
"alerta en todo el mundo: se han registrado más de 250 terremotos en la última semana http://is.gd/9lb3r  #terremotochile vía: @elcomercio","7","1","1","140","25","1","1"
"rt @carloszarate13: las iglesias de todo el país recibirán sólo alimentos no perecibles desde las 12 hrs. info en: http://tinyurl.com/yz ...","7","1","0","143","26","0","1"
"@copano la florida todo bien;exceptuando algunas cuadras aún;sin energía ...","2","1","1","78","13","0","1"
"rt @sanfeliu: el twitter oficial de la teletón es @teleton_chile hágalo girar rt es el canal oficial del evento del viernes!! súmenlo!!","8","2","0","138","25","0","1"
"@muchogustomega en dichato se necesita info de!: liria agüero agüero y eduardo sotomayor calixsto.... población santa alicia. sobre 90 años","7","2","1","143","24","0","1"
"@jose_munozzz yo y mi familia por suerte estamos bien!!","3","0","1","55","9","0","1"
"rt @zetadice: rt @linkjrc13: página con datos y búsqueda de personas en viña #terremotochile #viñadelmar http://bit.ly/9rywdm","11","1","1","129","23","2","1"
"rt @diantres: terremoto en chile desplazó ligeramente el eje de la tierr","6","1","0","73","12","0","1"
"@tele13online estudiantes usach: se convoca a reuniÓn maÑana a las 11:00 en patio de los naranjos (feusach) #terremotochile","6","2","1","125","21","1","1"
"busco #camilacamposaravena de #cauquenes de 21. su familia de #tco.la busca.cualquier info comunicarse a @#78961556 o mitwitt","7","1","0","125","19","3","1"
"toque de queda en concepción se adelanta a las 20:00 horas","4","1","1","59","13","0","1"
"@muchogustomega confirmado!!!!! ayer fue trasladado ivan lara stgo","0","4","0","66","8","0","1"
